atc,2001,,Rose's guy,abie,NNP
atc,2001,,Competent,able,JJ
atc,2001,,Confident,able,JJ
atc,2001,,Having the needed resources,able,JJ
atc,2001,,Qualified,able,JJ
atc,2001,,Ready and willing's companion,able,JJ
atc,2001,,Talented,able,JJ
atc,2001,,Up to the job,able,JJ
atc,2001,,Up to the task,able,JJ
atc,2001,,More qualified,abler,JJR
atc,2001,,More talented,abler,JJR
atc,2001,,In a competent way,ably,RB
atc,2001,,With skill,ably,RB
atc,2001,,Capp character,abner,NNP
atc,2001,,Digs,abode,NN
atc,2001,,Domicile,abode,NN
atc,2001,,Habitat,abode,NN
atc,2001,,Residence,abode,NN
atc,2001,,Where you live,abode,NN
atc,2001,,Dwellings,abodes,NNS
atc,2001,,Do away with,abolish,VB
atc,2001,,Wipe out,abolish,VB
atc,2001,,"Subject of ""Fat Man and Little Boy""",abomb,NN
atc,2001,,Terminate prematurely,abort,VB
atc,2001,,Hunt's poetic hero,abou,NNP
atc,2001,,Teem,abound,VB
atc,2001,,Close to,about,IN
atc,2001,,Concerned with,about,IN
atc,2001,,Exceeding,above,IN
atc,2001,,Heavenward,above,IN
atc,2001,,Over's partner,above,IN
atc,2001,,Upstairs,above,IN
atc,2001,,Rub the wrong way?,abrade,VB
atc,2001,,Use a pumice stone,abrade,VB
atc,2001,,Burnished,abraded,VBD
atc,2001,,Quebec's Plains of __,abraham,NNP
atc,2001,,Condensed (as text),abridged,VBN
atc,2001,,Bodybuilder's concern,abs,NNS
atc,2001,,Certain muscles,abs,NNS
atc,2001,,Crunches strengthen them,abs,NNS
atc,2001,,Iron pumper's pride,abs,NNS
atc,2001,,Keeps away,absents,VBZ
atc,2001,,Refrain,abstain,VB
atc,2001,,Preposterous,absurd,JJ
atc,2001,,__ Dhabi,abu,NNP
atc,2002,,Snug as ___ in a rug,abug,NN
atc,2001,,Assails verbally,abuses,VBZ
atc,2001,,Border on,abut,VB
atc,2001,,Touch at one end,abut,VB
atc,2001,,Touch on,abut,VB
atc,1998,,Bottomless pit,abyss,NN
atc,2001,,Immeasurable depth,abyss,NN
atc,2001,,Mimosa family member,acacia,NN
atc,2001,,Sch.,acad,NN
atc,2001,,"West Point, e.g.",acad,NN
atc,1998,,Professors and the like,academia,NN
atc,2001,,Mite,acarid,NN
atc,2001,,Eastern sports gr.,acc,NNP
atc,2001,,Gave in,acceded,VBD
atc,2001,,Gives consent,accedes,VBZ
atc,2001,,Received admittance,accessed,VBD
atc,2001,,Gets via the Net,accesses,VBZ
atc,2001,,Rave review,accolade,NN
atc,2001,,Kudos,accolades,NNS
atc,2001,,Honda model,accord,NNP
atc,2001,,Portable keyboard instruments,accordions,NNS
atc,2001,,Buttonhole,accost,VB
atc,2001,,Entice,accost,VB
atc,2001,,Confronts,accosts,VBZ
atc,2003,,Capital of Ghana,accra,NNP
atc,2001,,Largest city in Ghana,accra,NNP
atc,2001,,CPA,acct,NN
atc,2004,,Passbook abbr.,acct,NN
atc,2001,,What to make a dep. into,acct,NN
atc,2001,,Find fault with,accuse,VB
atc,2001,,Point the finger at,accuse,VB
atc,2001,,Current choices,acdc,NN
atc,2001,,Electrical option,acdc,NN
atc,2001,,Duffer's dream,ace,NN
atc,2001,,Early phone feature,ace,NN
atc,2001,,Excellent serve,ace,NN
atc,2001,,Expert,ace,NN
atc,2003,,Great service?,ace,NN
atc,2001,,King beater,ace,NN
atc,2001,,Top card,ace,NN
atc,2001,,Got a great mark on,aced,VBD
atc,2001,,Got the better of,aced,VBD
atc,2001,,Lucked out on the links,aced,VBD
atc,2001,,Passed easily,aced,VBD
atc,2001,,Scored a 1 on,aced,VBD
atc,2001,,Scored on serve,aced,VBD
atc,2003,,Served well?,aced,VBD
atc,2003,,Tart-tasting,acerb,JJ
atc,2001,,Dead Man's Hand pair,aces,NNS
atc,1998,,Gets a perfect score on,aces,VBZ
atc,2001,,High cards,aces,NNS
atc,2001,,Old pros,aces,NNS
atc,2001,,Sampras sizzlers,aces,NNS
atc,2001,,Serve scores,aces,NNS
atc,2001,,Top cards,aces,NNS
atc,2001,,You might find them up a sleeve,aces,NNS
atc,2001,,Containing vinegar,acetic,JJ
atc,2001,,Bavarian scream,ach,FW
atc,2001,,Innsbruck interjection,ach,FW
atc,2001,,Exercise aftermath,ache,NN
atc,2001,,Feel painful,ache,VB
atc,1999,,Head starter,ache,NN
atc,2001,,Hurt bad,ache,VB
atc,2001,,Need aspirin?,ache,VB
atc,2001,,Recover from a marathon,ache,VB
atc,2001,,Tylenol target,ache,NN
atc,2001,,Yearning,ache,NN
atc,2001,,Needed liniment,ached,VBN
atc,1999,,Needs liniment,aches,VBZ
atc,2001,,Pains' partner,aches,NNS
atc,2001,,Yearns,aches,VBZ
atc,2001,,Feel sore,aching,VBG
atc,2001,,God bless you precursor,achoo,UH
atc,2001,,Sneeze sound,achoo,UH
atc,2001,,"Eight, in Munich",acht,FW
atc,2001,,Sore,achy,JJ
atc,2001,,Bitter,acid,JJ
atc,2001,,Citric ____,acid,NN
atc,2001,,Corrosive liquid,acid,NN
atc,2001,,Etcher's need,acid,NN
atc,2001,,Etching fluid,acid,NN
atc,2001,,Etching solution,acid,NN
atc,2001,,Tangy,acid,JJ
atc,2001,,Emulating Pete Sampras,acing,VBG
atc,2001,,Scoring on serve,acing,VBG
atc,2001,,Civil rights org.,aclu,NNP
atc,2001,,Rights org.,aclu,NNP
atc,2001,,Rights org.,aclu,NNP
atc,2001,,Rts. defender since 1920,aclu,NNP
atc,2001,,High point,acme,NN
atc,2001,,Wile E. Coyote's supplier,acme,NNP
atc,2001,,Wile E. Coyote's supplier,acme,NNP
atc,1998,,Zenith,acme,NN
atc,2001,,Zenith,acme,NN
atc,2001,,Zenith,acme,NN
atc,2001,,High points,acmes,NNS
atc,2001,,Teen marker,acne,NN
atc,2001,,Teen woe,acne,NN
atc,2001,,Oak starter,acorn,NN
atc,2001,,Type of squash,acorn,NN
atc,2001,,About 4047 square meters,acre,NN
atc,2001,,Field piece,acre,NN
atc,2001,,Field unit,acre,NN
atc,2001,,Land measure,acre,NN
atc,2001,,Land-parcel piece,acre,NN
atc,2001,,Lot measure,acre,NN
atc,2001,,One of the lower forty,acre,NN
atc,2001,,Plottage,acre,NN
atc,2001,,Real-estate ad word,acre,NN
atc,2001,,Real-estate measure,acre,NN
atc,2001,,Section section,acre,NN
atc,2001,,Subdivision unit,acre,NN
atc,2001,,Wide expanse,acre,NN
atc,2001,,Units of area,acres,NNS
atc,2001,,Unpleasantly pungent,acrid,JJ
atc,2001,,Unlike this,across,IN
atc,2001,,Behave,act,VB
atc,2001,,Circus routine,act,NN
atc,2001,,Do something,act,VB
atc,2001,,Opera division,act,NN
atc,2001,,Play part,act,NN
atc,2001,,Play the part,act,VB
atc,2001,,Statute,act,NN
atc,1998,,Entr'__,acte,FW
atc,2001,,Hammed it up,acted,VBD
atc,2001,,Hit the big screen,acted,VBD
atc,2001,,Officiated,acted,VBD
atc,2001,,Took a role,acted,VBD
atc,2001,,Took measures,acted,VBD
atc,2001,,Pituitary hormone,acth,NN
atc,2001,,Opera opener,acti,NN
atc,2001,,Play beginning,acti,NN
atc,2001,,Play opener,acti,NN
atc,2001,,Play opening,acti,NN
atc,2001,,In office as a stopgap,acting,VBG
atc,2001,,Director's word,action,NN
atc,2001,,On the go,active,JJ
atc,2001,,Boston suburb,acton,NNP
atc,2001,,Take the bull by the horns,acton,VB
atc,2001,,Man of parts,actor,NN
atc,2001,,"Meryl Streep, to the politically correct",actor,NN
atc,2001,,Performer,actor,NN
atc,2001,,SAG member,actor,NN
atc,1997,,Thespian,actor,NN
atc,2001,,SAG members,actors,NNS
atc,2001,,Play charades,actout,VB
atc,2001,,Bible book,acts,NNP
atc,2001,,Bible book,acts,NNP
atc,2001,,Hams it up,acts,VBZ
atc,2001,,Play parts,acts,NNS
atc,2001,,Takes the stage,acts,VBZ
atc,2001,,Honest-to-goodness,actual,JJ
atc,2001,,Put into motion,actuate,VB
atc,2001,,Malfunction,actup,VB
atc,2001,,Misbehave,actup,VB
atc,2001,,Sharpness,acuity,NN
atc,2001,,Keenness of judgment,acumen,NN
atc,2001,,Integra maker,acura,NNP
atc,2001,,Legend maker,acura,NNP
atc,2001,,Severe and sharp,acute,JJ
atc,2001,,City in Oklahoma,ada,NNP
atc,2001,,Critic Huxtable,ada,NNP
atc,2001,,Louise Huxtable,ada,NNP
atc,2001,,Nabokov novel,ada,NNP
atc,2001,,Palindromic city,ada,NNP
atc,2001,,Palindromic computer language,ada,NNP
atc,2001,,Periodontist's gr.,ada,NNP
atc,1998,,Axiom,adage,NN
atc,2001,,Pithy saying,adage,NN
atc,2001,,Proverb,adage,NN
atc,2001,,Saying,adage,NN
atc,2001,,Maxims,adages,NNS
atc,2001,,Saws,adages,NNS
atc,2001,,Slower than andante,adagio,FW
atc,2001,,Robin of song,adair,NNP
atc,2001,,__ Clayton Powell Jr.,adam,NNP
atc,2001,,Ant on MTV,adam,NNP
atc,2001,,Economist Smith,adam,NNP
atc,2001,,First of men,adam,NNP
atc,2001,,One of the Cartwright boys,adam,NNP
atc,2001,,One of the Ponderosa boys,adam,NNP
atc,2001,,"West of ""Batman""",adam,NNP
atc,2001,,First Lady Abigail,adams,NNP
atc,2001,,John or John Q.,adams,NNPS
atc,2001,,Photographer Ansel,adams,NNP
atc,2001,,Bell town,adano,NNP
atc,2001,,Hersey bell town,adano,NNP
atc,2001,,Hersey title word,adano,NNP
atc,2001,,Hersey town,adano,NNP
atc,2001,,Conform,adapt,VB
atc,2004,,Cope with change,adapt,VB
atc,2001,,Make suitable,adapt,VB
atc,2001,,Makes adjustments,adapts,VBZ
atc,2001,,Month after Shevat,adar,FW
atc,2001,,Shebat follower,adar,FW
atc,2001,,Sixth month of the Hebrew calendar,adar,FW
atc,2001,,Get sum?,add,VB
atc,2001,,Recipe word,add,VB
atc,2001,,Stick on,add,VB
atc,2001,,Sum up,add,VB
atc,2001,,Supplement,add,VB
atc,2001,,Tack on,add,VB
atc,2001,,Tally,add,VB
atc,2001,,Total,add,VB
atc,2001,,Tote up,add,VB
atc,2001,,Extra __ attraction,added,VBN
atc,2001,,Found the sum of,added,VBD
atc,2001,,Calculator input,addend,NN
atc,2001,,Supplement,addendum,NN
atc,2001,,Supplement to a book,addendum,NN
atc,2001,,Calculating snake?,adder,NN
atc,2001,,Harmless crawler,adder,NN
atc,2001,,Confuse,addle,VB
atc,2001,,Confuse,addle,VB
atc,2001,,Increase,addon,VB
atc,2001,,Practices Chisanbop,adds,VBZ
atc,2001,,Tacks on,adds,VBZ
atc,2001,,Throws in,adds,VBZ
atc,2001,,The College Widow author,ade,NNP
atc,2001,,Author George,ade,NNP
atc,2001,,Fruit drink,ade,NN
atc,2001,,Fruity quaff,ade,NN
atc,1998,,Humorist George,ade,NNP
atc,2001,,Lemon drink,ade,NN
atc,2001,,Punch relative,ade,NN
atc,2001,,Sidewalk-stand product,ade,NN
atc,2001,,Summer cooler,ade,NN
atc,2001,,Summer quaff,ade,NN
atc,2001,,Sweetened beverage,ade,NN
atc,2001,,__ Rogers St. Johns,adela,NNP
atc,2001,,A Passage To India character,adela,NNP
atc,2001,,Daughter of William the Conqueror,adela,NNP
atc,2001,,Journalist Rogers St. Johns,adela,NNP
atc,2001,,Writer St. John,adela,NNP
atc,2001,,An Astaire,adele,NNP
atc,2001,,Fashion's Simpson,adele,NNP
atc,2001,,Food author Davis,adele,NNP
atc,2001,,Fred Astaire's sister,adele,NNP
atc,2001,,Fred's sister,adele,NNP
atc,2001,,Arabian gulf,aden,NNP
atc,2001,,Arabian Sea gulf,aden,NNP
atc,2001,,Asian gulf,aden,NNP
atc,2001,,Mideast gulf,aden,NNP
atc,2001,,Yemeni port,aden,NNP
atc,2001,,Proficient,adept,JJ
atc,2001,,Shows advanced skill,adept,JJ
atc,2001,,Skillful,adept,JJ
atc,2001,,Hot-weather quenchers,ades,NNS
atc,2001,,Lime drinks,ades,NNS
atc,1997,,Summer coolers,ades,NNS
atc,2001,,Summer quaffs,ades,NNS
atc,2001,,Summer quenchers,ades,NNS
atc,2001,,Stick,adhere,VB
atc,2001,,For a specific purpose,adhoc,JJ
atc,2001,,Type of committee,adhoc,JJ
atc,2001,,"Bye-bye, Brigitte",adieu,FW
atc,2001,,Amiens farewell!,adieu,FW
atc,2001,,"Farewell, to Francoise",adieu,FW
atc,2001,,Parting word,adieu,FW
atc,2001,,Tours ta-ta,adieu,FW
atc,2001,,Farewells,adieus,FW
atc,2002,,Deuce follower,adin,NN
atc,2001,,Baja bye-bye,adios,FW
atc,2001,,So long in San Juan,adios,FW
atc,2001,,"So long, senor",adios,FW
atc,2001,,Tampico ta-ta,adios,FW
atc,2001,,Pt. of speech,adj,NN
atc,2001,,Fine-tune,adjust,VB
atc,2001,,Tweak,adjust,VB
atc,2001,,Dwight's two-time opponent,adlai,NNP
atc,2001,,Politico Stevenson,adlai,NNP
atc,2001,,Austrian psychiatrist Alfred,adler,NNP
atc,2001,,Luther of stage,adler,NNP
atc,2001,,Do some improv,adlib,VB
atc,2001,,Make it up as you go,adlib,VB
atc,2001,,Off-the-cuff,adlib,VB
atc,2001,,USN flag officer,adm,NN
atc,2001,,Clio earners,admen,NNS
atc,2001,,Madison Avenue-types,admen,NNS
atc,2001,,Access,admission,NN
atc,2001,,Fess up,admit,VB
atc,2001,,Own up to,admit,VB
atc,2001,,High ranking naval personnel,adms,NNS
atc,2001,,Busy and useless activity,ado,NN
atc,2001,,Fuss,ado,NN
atc,2001,,Hornet's nest,ado,NN
atc,2001,,Pother,ado,NN
atc,2001,,Pother,ado,NN
atc,2001,,Uproar,ado,NN
atc,2001,,Upset,ado,NN
atc,2001,,Cliff-dweller's abode,adobe,NN
atc,2001,,Pueblo building material,adobe,NN
atc,2001,,Take as one's own,adopt,VB
atc,2001,,Be ga-ga over,adore,VB
atc,2001,,Be mad about,adore,VB
atc,2001,,Cherish,adore,VB
atc,2001,,Idolize,adore,VB
atc,2001,,Idolize,adore,VB
atc,2001,,Like a lot,adore,VB
atc,2001,,Only have eyes for,adore,VB
atc,2001,,Really fancy,adore,VB
atc,2001,,Revere,adore,VB
atc,2001,,Worship,adore,VB
atc,2001,,Old actress Renee,adoree,NNP
atc,2001,,Infatuated one,adorer,NN
atc,2001,,Regarding with devotion,adoring,VBG
atc,2001,,Decorate,adorn,VB
atc,2001,,Dress up,adorn,VB
atc,2001,,Tree trimmer,adorner,NN
atc,2001,,Commotions,ados,NNS
atc,2000,,Fusses,ados,NNS
atc,2001,,Hubbubs,ados,NNS
atc,2001,,Troubles,ados,NNS
atc,2001,,Name of six popes,adrian,NNP
atc,2001,,Directionless,adrift,JJ
atc,2001,,Skillful,adroit,JJ
atc,2001,,After-deuce points,ads,NNS
atc,2001,,Circular filler,ads,NNS
atc,2001,,Classified info.,ads,NNS
atc,2001,,Classified material?,ads,NNS
atc,2001,,Commercials,ads,NNS
atc,2001,,Madison Avenue output,ads,NNS
atc,2001,,Many magazine pages,ads,NNS
atc,2001,,Matchbook come-ons,ads,NNS
atc,2001,,Newspaper revenue,ads,NNS
atc,2001,,"Personals, e.g.",ads,NNS
atc,2001,,Radio plugs,ads,NNS
atc,2001,,"Reader's Digest lack, until 1955",ads,NNS
atc,2001,,Sale notices,ads,NNS
atc,2001,,Sandwich-board notices,ads,NNS
atc,2001,,"Together, musically",adue,JJ
atc,2001,,Legal-age attainers,adults,NNS
atc,2001,,Burned,adust,JJ
atc,2001,,Detrimental,adverse,JJ
atc,2001,,Kitchen cabinet member,advisor,NN
atc,2001,,Wood dresser,adz,NN
atc,2001,,Wood-shop tool,adz,NN
atc,2001,,Woodworking tool,adz,NN
atc,2001,,GIZMO,adze,NN
atc,2001,,Wood dresser,adze,NN
atc,2001,,Wood-shaping tool,adze,NN
atc,2001,,Axlike tools,adzes,NNS
atc,2001,,Yellow-fever mosquito,aedes,NN
atc,2001,,Arm of the Mediterranean,aegean,NNP
atc,2001,,Protection,aegis,NN
atc,2001,,Legendary Trojan,aeneas,NNP
atc,2003,,God of the winds,aeolus,NNP
atc,2001,,"A long, long time",aeon,NN
atc,2001,,Age,aeon,NN
atc,2002,,An indefinitely long period of time,aeon,NN
atc,2001,,Eternity,aeon,NN
atc,2001,,Many a millennium,aeon,NN
atc,2001,,__ Lingus,aer,NNP
atc,2001,,__ Lingus (Irish airline),aer,NNP
atc,2001,,Charge with gas,aerate,VB
atc,2001,,Fill with fizz,aerate,VB
atc,2001,,Make fizzy,aerate,VB
atc,2001,,Put in fizz,aerate,VB
atc,2001,,Antenna,aerial,NN
atc,2001,,Eaglet's home,aerie,NN
atc,2001,,Lofty abode,aerie,NN
atc,2001,,Onetime Houston hockey team,aeros,NNP
atc,2001,,Type of spray,aerosol,NN
atc,2001,,1952 election monogram,aes,NNP
atc,2001,,HST's hopeful successor,aes,NNP
atc,2001,,Loser to DDE,aes,NNP
atc,2001,,Famous fabulist,aesop,NNP
atc,2001,,Big name in insurance,aetna,NNP
atc,2001,,HMO provider,aetna,NNP
atc,2001,,A great distance,afar,RB
atc,2001,,Father's robes,afar,RB
atc,2001,,From a distance,afar,RB
atc,2001,,In the distance,afar,RB
atc,2001,,Way off,afar,RB
atc,2001,,"Way, way off",afar,RB
atc,2001,,Whence the lovelorn worship,afar,RB
atc,2001,,Worshiper's distance?,afar,RB
atc,2001,,Yonder,afar,RB
atc,2001,,Patriots' org.,afc,NNP
atc,2001,,Forbidden romance,affair,NN
atc,2001,,They may be current or foreign,affairs,NNS
atc,2001,,Fasten,affix,VB
atc,2001,,Be able to pay the cost of,afford,VB
atc,2001,,Brawl,affray,NN
atc,2004,,Free-for-all,affray,NN
atc,2001,,Flaming,afire,JJ
atc,2001,,In flames,afire,JJ
atc,2001,,Lit,afire,JJ
atc,2001,,"CIO's counterpart, until 1955",afl,NNP
atc,2001,,Union letters,afl,NNP
atc,2001,,Burning,aflame,JJ
atc,2001,,Cruising,afloat,JJ
atc,2001,,Previous to,afore,IN
atc,2001,,Shivering in one's shoes,afraid,JJ
atc,2001,,Big 'do,afro,NN
atc,1998,,Bushy hairstyle,afro,NN
atc,2001,,Curly coif,afro,NN
atc,2001,,Frizzy 'do,afro,NN
atc,1997,,Head of hair,afro,NN
atc,2001,,High hairdos,afros,NNS
atc,2001,,Rounded coifs,afros,NNS
atc,2001,,Eve. preceder,aft,NN
atc,2001,,Swabbie's rear,aft,NN
atc,1998,,Behind in place,after,IN
atc,2001,,Behind in place,after,IN
atc,2001,,Following,after,IN
atc,2001,,Later on,after,IN
atc,2001,,Begum's spouse,aga,FW
atc,2001,,Turkish title,aga,FW
atc,2001,,Turkish VIP,aga,FW
atc,2001,,Anew,again,RB
atc,2001,,In return,again,RB
atc,2001,,Cords of wool which hold the kaffiyeh,agal,FW
atc,2001,,Iguana,agama,NN
atc,2001,,Tropical lizard,agama,NN
atc,2001,,Capital of Guam,agana,NNP
atc,2001,,Guam capital,agana,NNP
atc,2001,,In a state of amazement,agape,JJ
atc,2001,,In a state of wonder,agape,JJ
atc,2001,,Alga extract,agar,NN
atc,2001,,Culture medium,agar,NN
atc,2001,,Food stabilizer,agar,NN
atc,2001,,Gel agent,agar,NN
atc,2001,,Gel agent,agar,NN
atc,2001,,John of 67A,agar,NNP
atc,2001,,Lab medium,agar,NN
atc,2001,,Seaweed substance,agar,NN
atc,2001,,Turkish bigwigs,agas,FW
atc,2001,,Turkish leaders,agas,FW
atc,2001,,Andre of tennis,agassi,NNP
atc,2001,,"Our Gang prop, sometimes",agate,NN
atc,2001,,Banded gem,agate,NN
atc,2001,,Chalcedony,agate,NN
atc,1997,,Quartz,agate,NN
atc,2001,,Marbles,agates,NNS
atc,2001,,Playing marbles,agates,NNS
atc,2001,,Century plant,agave,NN
atc,2001,,Rope material,agave,NN
atc,2001,,"39, to Benny",age,NN
atc,2001,,Biographical datum,age,NN
atc,2001,,Candles tell this,age,NN
atc,2001,,Fine wine attribute,age,NN
atc,2001,,"Get wrinkled, in a way",age,VB
atc,2001,,Go gray,age,VB
atc,2001,,Have another birthday,age,VB
atc,2001,,Mature,age,VB
atc,2001,,Mellow,age,VB
atc,2001,,Oft-lied-about personal stat,age,NN
atc,2001,,Oft-lied-about personal statistic,age,NN
atc,2001,,Ripen,age,VB
atc,2001,,"Sweet sixteen, e.g.",age,NN
atc,2001,,"Well-guarded secret, sometimes",age,NN
atc,2001,,Elderly,aged,JJ
atc,2001,,Long in the tooth,aged,JJ
atc,2001,,Made mellow,aged,VBD
atc,2001,,The African Queen scriptwriter,agee,NNP
atc,2001,,The Morning Watch author,agee,NNP
atc,2001,,The Night of the Hunter screenwriter,agee,NNP
atc,2001,,Baseballer Tommie,agee,NNP
atc,2001,,Screenwriter James,agee,NNP
atc,2003,,Expendable rocket,agena,NNP
atc,2001,,Former NASA launcher,agena,NNP
atc,2001,,Spacecraft-launching rocket,agena,NNP
atc,2001,,Exec's schedule,agenda,NN
atc,2001,,____ 86 (Maxwell Smart),agent,NN
atc,2001,,"Napoleon Solo, e.g.",agent,NN
atc,2001,,Representative,agent,NN
atc,2001,,Smart or Smiley,agent,NN
atc,2001,,"Talent scout, e.g.",agent,NN
atc,2001,,Ten-percenter,agent,NN
atc,2001,,FBI guys,agents,NNS
atc,2001,,Representatives,agents,NNS
atc,2001,,Ancient,ageold,JJ
atc,2001,,Of long standing,ageold,JJ
atc,2001,,Ain't She Sweet? composer Milton,ager,NNP
atc,2001,,Dark or Middle follower,ages,NNS
atc,2001,,Gets ripe,ages,VBZ
atc,2002,,Many moons,ages,NNS
atc,2001,,Matures,ages,VBZ
atc,2001,,Years and years,ages,VBZ
atc,2001,,Turkish chief,agha,FW
atc,2001,,Horror-stricken,aghast,JJ
atc,2001,,Shocked,aghast,JJ
atc,2001,,Mentally quick,agile,JJ
atc,2001,,Nimble,agile,JJ
atc,2001,,Quick of foot,agile,JJ
atc,2001,,"One more time, country-style",agin,IN
atc,2001,,"Opposed to, in the sticks",agin,IN
atc,2001,,Premium,agio,NN
atc,2001,,Shoelace end,aglet,NN
atc,2001,,Radiant,aglow,JJ
atc,2001,,A Demille,agnes,NNP
atc,2001,,Ms. Moorhead,agnes,NNP
atc,2001,,Back,ago,RB
atc,2003,,Back in time,ago,RB
atc,2001,,Gone by,ago,RB
atc,2002,,In the past,ago,RB
atc,2001,,Past,ago,RB
atc,2001,,All excited,agog,JJ
atc,2001,,Bug-eyed,agog,JJ
atc,2001,,Eager,agog,JJ
atc,2001,,Wide-eyed,agog,JJ
atc,2001,,Extreme pain,agony,NN
atc,2001,,Athens marketplace,agora,FW
atc,2001,,Greek marketplace,agora,FW
atc,2001,,Naxos marketplace,agora,FW
atc,2001,,Where the ancient Greeks shopped,agora,FW
atc,2001,,Classical malls,agorae,FW
atc,2001,,City southeast of New Delhi,agra,NNP
atc,2001,,Taj Mahal site,agra,NNP
atc,2001,,Act the yes-man,agree,VB
atc,2001,,Be in accord,agree,VB
atc,2001,,Concur,agree,VB
atc,2002,,Settled,agreed,VBD
atc,2001,,"Corresponds, gramatically",agrees,VBZ
atc,2001,,Sees eye to eye,agrees,VBZ
atc,2001,,FBI one,agt,NN
atc,2001,,FBI operative,agt,NN
atc,2001,,Rep.,agt,NN
atc,1998,,Representative,agt,NN
atc,2003,,Reps,agts,NNS
